ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,TEDTALK610,PGN.TXT,0.11765,0.02985,0.04762,1
ROUGE-2,TEDTALK610,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK610,PGN.TXT,0.03333,0.00877,0.01389,1
ROUGE-L,TEDTALK611,PGN.TXT,0.10417,0.14286,0.12048,1
ROUGE-1,TEDTALK611,PGN.TXT,0.17241,0.08772,0.11628,1
ROUGE-2,TEDTALK611,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK611,PGN.TXT,0.03704,0.01923,0.02532,1
ROUGE-L,TEDTALK853,PGN.TXT,0.14286,0.07812,0.10101,1
ROUGE-1,TEDTALK853,PGN.TXT,0.24390,0.05348,0.08772,1
ROUGE-2,TEDTALK853,PGN.TXT,0.05128,0.01111,0.01826,1
ROUGE-SU4,TEDTALK853,PGN.TXT,0.07568,0.01618,0.02667,1
ROUGE-L,TEDTALK609,PGN.TXT,0.13889,0.20000,0.16393,1
ROUGE-1,TEDTALK609,PGN.TXT,0.13636,0.04545,0.06818,1
ROUGE-2,TEDTALK609,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK609,PGN.TXT,0.03500,0.01148,0.01728,1
ROUGE-L,TEDTALK1351,PGN.TXT,0.10000,0.23077,0.13953,1
ROUGE-1,TEDTALK1351,PGN.TXT,0.17568,0.18056,0.17808,1
ROUGE-2,TEDTALK1351,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1351,PGN.TXT,0.06061,0.06061,0.06061,1
ROUGE-L,TEDTALK1350,PGN.TXT,0.03125,0.03030,0.03077,1
ROUGE-1,TEDTALK1350,PGN.TXT,0.03125,0.00588,0.00990,1
ROUGE-2,TEDTALK1350,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1350,PGN.TXT,0.00714,0.00122,0.00208,1
ROUGE-L,TEDTALK1110,PGN.TXT,0.07143,0.08571,0.07792,1
ROUGE-1,TEDTALK1110,PGN.TXT,0.13636,0.04054,0.06250,1
ROUGE-2,TEDTALK1110,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1110,PGN.TXT,0.03684,0.00986,0.01556,1
ROUGE-L,TEDTALK1353,PGN.TXT,0.15686,0.13333,0.14414,1
ROUGE-1,TEDTALK1353,PGN.TXT,0.23188,0.10959,0.14884,1
ROUGE-2,TEDTALK1353,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1353,PGN.TXT,0.05397,0.02537,0.03452,1
ROUGE-L,TEDTALK1352,PGN.TXT,0.02500,0.11111,0.04082,1
ROUGE-1,TEDTALK1352,PGN.TXT,0.02381,0.01389,0.01754,1
