ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TEDTALK815,TEXTRANK.TXT,0.13043,0.07500,0.09524,1
ROUGE-1,TEDTALK815,TEXTRANK.TXT,0.18750,0.07627,0.10843,1
ROUGE-2,TEDTALK815,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK815,TEXTRANK.TXT,0.05455,0.02105,0.03038,1
ROUGE-L,TEDTALK1941,TEXTRANK.TXT,0.11429,0.14815,0.12903,1
ROUGE-1,TEDTALK1941,TEXTRANK.TXT,0.17582,0.18182,0.17877,1
ROUGE-2,TEDTALK1941,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1941,TEXTRANK.TXT,0.04235,0.04286,0.04260,1
ROUGE-L,TEDTALK1944,TEXTRANK.TXT,0.14706,0.16667,0.15625,1
ROUGE-1,TEDTALK1944,TEXTRANK.TXT,0.18681,0.20238,0.19429,1
ROUGE-2,TEDTALK1944,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1944,TEXTRANK.TXT,0.05185,0.05250,0.05217,1
ROUGE-L,TEDTALK816,TEXTRANK.TXT,0.14894,0.10145,0.12069,1
ROUGE-1,TEDTALK816,TEXTRANK.TXT,0.26667,0.16162,0.20126,1
ROUGE-2,TEDTALK816,TEXTRANK.TXT,0.01724,0.01053,0.01307,1
ROUGE-SU4,TEDTALK816,TEXTRANK.TXT,0.07857,0.04835,0.05986,1
ROUGE-L,TEDTALK817,TEXTRANK.TXT,0.12500,0.05208,0.07353,1
ROUGE-1,TEDTALK817,TEXTRANK.TXT,0.26000,0.09286,0.13684,1
ROUGE-2,TEDTALK817,TEXTRANK.TXT,0.02083,0.00725,0.01075,1
ROUGE-SU4,TEDTALK817,TEXTRANK.TXT,0.07826,0.02647,0.03956,1
ROUGE-L,TEDTALK1943,TEXTRANK.TXT,0.09091,0.05556,0.06897,1
ROUGE-1,TEDTALK1943,TEXTRANK.TXT,0.28571,0.14894,0.19580,1
ROUGE-2,TEDTALK1943,TEXTRANK.TXT,0.02128,0.01075,0.01429,1
ROUGE-SU4,TEDTALK1943,TEXTRANK.TXT,0.07556,0.03696,0.04964,1
ROUGE-L,TEDTALK1946,TEXTRANK.TXT,0.12500,0.07229,0.09160,1
ROUGE-1,TEDTALK1946,TEXTRANK.TXT,0.19298,0.08730,0.12022,1
ROUGE-2,TEDTALK1946,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1946,TEXTRANK.TXT,0.04314,0.01803,0.02543,1
ROUGE-L,TEDTALK1945,TEXTRANK.TXT,0.10638,0.06757,0.08264,1
